-0.58,0.09,0.08,75.94,35.50,114.22,-1.39,0.48,0.27,-121.42,192.73,16.48,-1.07,0.52,-1.27,-74.98,8.56,-250.00,-0.32,-0.25,-0.66,249.99,-67.67,-77.16,-0.63,-0.14,1.32,106.39,-17.10,205.77,-1.16,0.50,0.15,-250.00,130.04,57.66,-1.36,0.66,-1.13,14.38,32.62,-3.48,-0.94,0.62,-1.01,245.66,-45.52,-34.42,-0.71,0.12,0.71,231.95,-54.05,-16.30,-0.91,0.10,0.41,-6.90,-40.63,18.84
-0.57,-0.10,-0.24,39.45,39.09,133.09,-1.33,0.41,0.16,-77.71,106.75,37.85,-1.11,0.66,-1.32,-64.25,43.65,-250.00,-0.31,-0.25,-0.97,187.47,-25.60,-111.56,-0.37,-0.33,0.68,170.26,-59.69,211.99,-1.38,0.35,0.87,-238.19,81.82,119.39,-1.09,0.79,-1.15,-98.40,32.17,15.85,-1.06,0.37,-0.96,103.08,-32.57,-33.24,-0.77,0.18,-0.11,244.90,-51.34,-23.24,-0.82,0.17,0.67,101.59,-40.76,14.24
-0.61,-0.02,-0.43,29.08,65.35,77.34,-1.23,0.31,0.23,-53.05,79.44,81.11,-1.35,0.59,-1.10,-82.89,23.45,-230.58,-0.30,-0.14,-1.03,172.36,3.36,-128.43,-0.09,-0.19,0.57,200.69,-78.75,230.67,-1.35,0.29,0.88,-167.70,68.45,179.16,-0.93,0.66,-0.97,-180.54,37.72,-48.51,-1.07,0.35,-1.00,65.11,-33.22,-2.12,-0.72,0.23,-0.27,231.32,-27.25,7.11,-1.00,0.32,0.40,126.87,-40.62,12.73
-0.65,0.12,-0.26,55.66,57.77,104.69,-1.55,0.47,0.27,-111.06,75.71,-42.46,-0.81,0.55,-1.59,-2.84,50.59,-250.00,-0.23,-0.30,-0.70,220.54,-56.49,-18.30,-0.57,-0.24,0.79,125.85,-49.48,182.44,-1.23,0.30,0.61,-211.35,77.00,119.77,-1.03,0.63,-0.95,-164.12,10.29,-17.07,-0.87,0.39,-1.06,58.53,-22.80,-12.45,-0.79,0.31,-0.55,216.61,-73.59,17.49,-0.84,0.25,0.36,188.93,-41.96,4.01
-0.71,0.08,-0.55,-7.39,83.52,24.31,-0.86,0.19,-0.02,28.09,45.94,109.54,-1.54,0.52,-0.15,-148.93,99.59,-94.78,-0.67,0.51,-1.42,59.06,69.54,-250.00,-0.10,-0.29,-0.50,243.12,-47.55,8.08,-0.71,-0.13,1.02,58.03,-10.97,210.97,-1.20,0.52,0.10,-250.00,110.98,-3.23,-0.93,0.58,-1.25,-50.01,29.95,-17.81,-0.88,0.29,-0.87,115.71,-33.57,-0.80,-0.72,0.35,-0.24,249.99,-69.85,30.53
-0.70,0.10,-0.35,43.69,63.76,62.74,-1.25,0.39,0.31,-38.52,92.03,88.16,-1.41,0.57,-0.76,-137.92,63.10,-210.01,-0.37,0.14,-1.05,141.78,35.20,-189.06,-0.12,-0.28,0.10,215.78,-45.65,144.82,-1.19,0.08,1.05,-54.83,45.93,222.03,-0.91,0.70,-0.50,-250.00,96.54,-44.67,-0.96,0.64,-1.34,-2.40,6.14,5.87,-0.64,0.39,-0.69,207.10,-50.43,16.27,-0.95,0.30,0.19,199.27,-69.63,23.14
-0.52,0.12,-0.53,27.69,47.41,68.79,-1.27,0.38,0.34,-57.07,96.82,93.25,-1.45,0.79,-0.85,-161.55,6.24,-219.39,-0.40,0.12,-1.25,187.81,12.67,-161.62,-0.22,-0.27,0.19,234.89,-49.18,105.32,-0.92,0.14,0.88,-9.11,63.09,249.99,-1.09,0.74,-0.47,-250.00,136.63,-12.59,-0.76,0.71,-1.25,-61.94,14.43,-40.02,-0.82,0.38,-0.85,166.82,-53.64,9.40,-0.76,0.29,0.02,233.22,-65.83,48.68
-0.40,-0.01,-0.43,6.10,56.13,60.62,-1.15,0.47,0.21,-66.39,67.67,102.34,-1.58,0.73,-0.77,-152.00,-42.56,-184.67,-0.33,0.19,-1.04,88.05,60.88,-205.43,-0.45,-0.33,-0.22,207.89,-20.84,35.11,-0.62,-0.01,0.75,92.47,27.18,226.37,-1.25,0.39,0.38,-219.02,101.89,92.29,-0.82,0.58,-1.16,-186.39,-29.10,-46.88,-0.84,0.47,-0.99,92.96,-18.68,7.68,-0.77,0.32,-0.38,215.23,-57.84,47.60
-0.46,0.13,-0.37,13.82,80.92,85.06,-1.15,0.43,0.22,-58.83,83.76,107.05,-1.50,0.80,-0.79,-144.69,39.39,-233.35,-0.25,0.13,-0.99,138.99,60.23,-146.58,-0.31,-0.28,-0.01,217.95,-64.22,110.64,-1.08,0.13,1.00,-30.76,67.48,179.17,-1.09,0.66,-0.42,-250.00,53.61,-50.94,-0.86,0.68,-1.36,-50.79,13.20,-13.92,-0.77,0.31,-0.93,166.31,-52.77,1.27,-0.70,0.24,-0.13,205.87,-81.25,56.56
-0.58,0.08,-0.12,40.78,43.60,87.68,-1.23,0.43,0.36,-48.08,122.97,96.32,-1.38,0.74,-0.96,-98.59,58.58,-213.61,-0.27,0.09,-0.86,175.27,22.70,-125.55,-0.32,-0.18,0.37,222.77,-56.85,145.42,-1.19,0.12,0.84,-152.73,63.54,135.85,-0.91,0.59,-0.81,-241.14,29.14,-51.42,-0.93,0.52,-1.23,38.65,-26.02,10.09,-0.53,0.31,-0.67,194.24,-38.08,33.07,-0.86,0.34,0.10,185.78,-68.50,15.73
